"YEAR","MONTH_NUM","FLT_DATE","FLT_ERT_1"
"2012",1,2012-01-18,23852
"2012",1,2012-01-19,24224
"2012",1,2012-01-20,25428
"2012",1,2012-01-21,18100
"2012",1,2012-01-22,20894
"2012",1,2012-01-23,24398
"2012",1,2012-01-24,23237
"2012",1,2012-01-25,24010
"2012",1,2012-01-26,24519
"2012",1,2012-01-27,25177
"2012",1,2012-01-28,18416
"2012",1,2012-01-29,20788
"2012",1,2012-01-30,23769
"2012",1,2012-01-31,23093
"2012",2,2012-02-01,23576
"2012",2,2012-02-02,24150
"2012",2,2012-02-03,24871
"2012",2,2012-02-04,18066
"2012",2,2012-02-05,20066
"2012",2,2012-02-06,23736
"2012",2,2012-02-07,22546
"2012",2,2012-02-08,23609
"2012",2,2012-02-09,24339
"2012",2,2012-02-10,25805
"2012",2,2012-02-11,19101
"2012",2,2012-02-12,21130
"2012",2,2012-02-13,23976
"2012",2,2012-02-14,23133
"2012",2,2012-02-15,24306
"2012",2,2012-02-16,24837
"2012",2,2012-02-17,25675
"2012",2,2012-02-18,19851
"2012",2,2012-02-19,21841
"2012",2,2012-02-20,24221
"2012",2,2012-02-21,23411
"2012",2,2012-02-22,24536
"2012",2,2012-02-23,24905
"2012",2,2012-02-24,25623
"2012",2,2012-02-25,19792
"2012",2,2012-02-26,22062
"2012",2,2012-02-27,24995
"2012",2,2012-02-28,23556
"2012",2,2012-02-29,24269
"2012",3,2012-03-01,25617
"2012",3,2012-03-02,26283
"2012",3,2012-03-03,19831
"2012",3,2012-03-04,22049
"2012",3,2012-03-05,25471
"2012",3,2012-03-06,24680
"2012",3,2012-03-07,25610
"2012",3,2012-03-08,26048
"2012",3,2012-03-09,26767
"2012",3,2012-03-10,19776
"2012",3,2012-03-11,22261
"2012",3,2012-03-12,25721
"2012",3,2012-03-13,24949
"2012",3,2012-03-14,25683
"2012",3,2012-03-15,26357
"2012",3,2012-03-16,27331
"2012",3,2012-03-17,19888
"2012",3,2012-03-18,22239
"2012",3,2012-03-19,25805
"2012",3,2012-03-20,25086
"2012",3,2012-03-21,25919
"2012",3,2012-03-22,26634
"2012",3,2012-03-23,27227
"2012",3,2012-03-24,19966
"2012",3,2012-03-25,23654
"2012",3,2012-03-26,27464
"2012",3,2012-03-27,26533
"2012",3,2012-03-28,28078
"2012",3,2012-03-29,27204
"2012",3,2012-03-30,29021
"2012",3,2012-03-31,22694
"2012",4,2012-04-01,24323
"2012",4,2012-04-02,25731
"2012",4,2012-04-03,25182
"2012",4,2012-04-04,27233
"2012",4,2012-04-05,27152
"2012",4,2012-04-06,24403
"2012",4,2012-04-07,21043
"2012",4,2012-04-08,21629
"2012",4,2012-04-09,24385
"2012",4,2012-04-10,26818
"2012",4,2012-04-11,27305
"2012",4,2012-04-12,27796
"2012",4,2012-04-13,28033
"2012",4,2012-04-14,22781
"2012",4,2012-04-15,24485
"2012",4,2012-04-16,28005
"2012",4,2012-04-17,27669
"2012",4,2012-04-18,27996
"2012",4,2012-04-19,28593
"2012",4,2012-04-20,28994
"2012",4,2012-04-21,22633
"2012",4,2012-04-22,24592
"2012",4,2012-04-23,28134
"2012",4,2012-04-24,27597
"2012",4,2012-04-25,27991
"2012",4,2012-04-26,28806
"2012",4,2012-04-27,29930
"2012",4,2012-04-28,23604
"2012",4,2012-04-29,24587
"2012",4,2012-04-30,25735
"2012",5,2012-05-01,25368
"2012",5,2012-05-02,28670
"2012",5,2012-05-03,28885
"2012",5,2012-05-04,29239
"2012",5,2012-05-05,23490
"2012",5,2012-05-06,25283
"2012",5,2012-05-07,27940
"2012",5,2012-05-08,27746
"2012",5,2012-05-09,29087
"2012",5,2012-05-10,29646
"2012",5,2012-05-11,30070
"2012",5,2012-05-12,23888
"2012",5,2012-05-13,25707
"2012",5,2012-05-14,29327
"2012",5,2012-05-15,28537
"2012",5,2012-05-16,29413
